client,location,product,quantity,customerFeedback,date
Ana,Alexandre Gusmão,Alface,85,Ruim,2026-03-25 00:40:00
Ana,Alexandre Gusmão,Alface,91,Regular,2025-11-24 04:06:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,64,Ruim,2025-11-01 07:56:00
Ana,Alexandre Gusmão,Chuchu,59,Regular,2025-09-08 00:49:00
Ana,Alexandre Gusmão,Tangerina,67,Péssimo,2026-05-06 04:53:00
Ana,Alexandre Gusmão,Brazlândia,96,Péssimo,2026-01-31 01:34:00
Ana,Alexandre Gusmão,Cebolinha,83,Regular,2026-05-27 14:17:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,56,Regular,2026-04-30 13:29:00
Ana,Alexandre Gusmão,Abacate,55,Ruim,2026-03-08 09:05:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,52,Regular,2025-06-12 19:08:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,82,Ruim,2026-02-03 12:04:00
Ana,Alexandre Gusmão,Couve,71,Bom,2026-05-28 18:46:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,81,Ruim,2025-06-17 21:57:00
Ana,Alexandre Gusmão,Abacate,77,Péssimo,2025-07-24 20:03:00
Ana,Alexandre Gusmão,Banana,86,Excelente,2025-12-27 12:14:00
Ana,Alexandre Gusmão,Brazlândia,67,Ruim,2025-12-04 07:44:00
Ana,Alexandre Gusmão,Mandioca,63,Bom,2025-08-22 19:18:00
Ana,Alexandre Gusmão,Chuchu,58,Excelente,2026-05-27 10:20:00
Ana,Alexandre Gusmão,Couve,71,Regular,2025-12-11 01:37:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,63,Bom,2025-06-29 13:39:00
Ana,Alexandre Gusmão,Abacate,63,Ruim,2025-10-16 21:31:00
Ana,Alexandre Gusmão,Tangerina,88,Excelente,2026-01-23 02:25:00
Ana,Alexandre Gusmão,Tangerina,93,Ruim,2025-09-03 05:27:00
Ana,Alexandre Gusmão,Cebolinha,80,Bom,2026-01-11 16:47:00
Ana,Alexandre Gusmão,Banana,69,Péssimo,2026-04-17 05:57:00
Ana,Alexandre Gusmão,Manga,79,Bom,2026-04-08 12:33:00
Ana,Alexandre Gusmão,Maracujá,98,Péssimo,2025-06-27 06:19:00
Ana,Alexandre Gusmão,Repolho,79,Péssimo,2026-02-22 04:53:00
Ana,Alexandre Gusmão,Tangerina,51,Regular,2026-03-06 23:03:00
Ana,Alexandre Gusmão,Cebolinha,94,Ruim,2025-11-03 00:42:00
Ana,Alexandre Gusmão,Maracujá,57,Regular,2026-04-29 03:37:00
Ana,Alexandre Gusmão,Tangerina,56,Ruim,2025-11-18 16:49:00
Ana,Alexandre Gusmão,Maracujá,93,Péssimo,2025-12-13 02:43:00
Ana,Alexandre Gusmão,Cebolinha,52,Bom,2025-10-06 02:00:00
Ana,Alexandre Gusmão,Uva,61,Bom,2025-12-28 12:09:00
Ana,Alexandre Gusmão,Alface,90,Excelente,2025-08-30 21:48:00
Ana,Alexandre Gusmão,Alface,50,Regular,2025-06-25 23:28:00
Ana,Alexandre Gusmão,Alface,79,Regular,2025-10-28 20:20:00
Ana,Alexandre Gusmão,Repolho,80,Excelente,2026-01-01 13:42:00
Ana,Alexandre Gusmão,Pepino,2,Regular,2026-04-02 10:54:00
Ana,Alexandre Gusmão,Mandioca,74,Bom,2026-04-14 23:06:00
Ana,Alexandre Gusmão,Uva,98,Excelente,2026-03-14 18:38:00
Ana,Alexandre Gusmão,Brazlândia,57,Regular,2025-06-04 01:40:00
Ana,Alexandre Gusmão,Repolho,82,Péssimo,2026-03-05 13:51:00
Ana,Alexandre Gusmão,Atemóia,75,Ruim,2026-01-28 01:02:00
Ana,Alexandre Gusmão,Brazlândia,85,Ruim,2026-02-08 16:55:00
Ana,Alexandre Gusmão,Banana,89,Péssimo,2025-12-15 18:47:00
Ana,Alexandre Gusmão,Couve,58,Bom,2026-02-18 18:41:00
Ana,Alexandre Gusmão,Manga,70,Excelente,2026-03-31 11:46:00
Ana,Alexandre Gusmão,Repolho,92,Ruim,2026-04-05 12:48:00
Ana,Alexandre Gusmão,Chuchu,86,Ruim,2026-02-17 16:39:00
Ana,Alexandre Gusmão,Maracujá,52,Péssimo,2025-12-07 06:15:00
Ana,Alexandre Gusmão,Pimentão,97,Regular,2026-02-25 17:59:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,56,Excelente,2026-05-12 06:38:00
Ana,Alexandre Gusmão,Chuchu,98,Bom,2025-11-06 07:03:00
Ana,Alexandre Gusmão,Banana,60,Bom,2025-12-16 18:15:00
Ana,Alexandre Gusmão,Brazlândia,96,Excelente,2025-07-24 12:26:00
Ana,Alexandre Gusmão,Chuchu,77,Bom,2025-08-26 22:44:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,80,Ruim,2026-01-21 10:15:00
Ana,Alexandre Gusmão,Cebolinha,89,Excelente,2026-02-03 07:44:00
Ana,Alexandre Gusmão,Manga,69,Péssimo,2025-09-15 13:06:00
Ana,Alexandre Gusmão,Mandioca,68,Excelente,2026-01-01 16:00:00
Ana,Alexandre Gusmão,Tangerina,62,Ruim,2026-05-05 15:45:00
Ana,Alexandre Gusmão,Pepino,2,Excelente,2025-09-08 21:48:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,60,Regular,2026-02-23 13:27:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,82,Regular,2025-08-30 13:21:00
Ana,Alexandre Gusmão,Brazlândia,61,Péssimo,2025-09-08 15:12:00
Ana,Alexandre Gusmão,Manga,74,Regular,2026-03-17 04:05:00
Ana,Alexandre Gusmão,Abacate,53,Regular,2026-04-29 04:08:00
Ana,Alexandre Gusmão,Brazlândia,60,Regular,2025-12-03 18:53:00
Ana,Alexandre Gusmão,Quiabo,2,Péssimo,2025-09-13 10:45:00
Ana,Alexandre Gusmão,Pepino,1,Excelente,2025-06-28 18:47:00
Ana,Alexandre Gusmão,Quiabo,8,Ruim,2025-07-05 14:21:00
Ana,Alexandre Gusmão,Atemóia,92,Regular,2025-12-22 11:59:00
Ana,Alexandre Gusmão,Mandioca,66,Regular,2025-09-11 23:11:00
Ana,Alexandre Gusmão,Repolho,91,Excelente,2025-06-01 11:13:00
Ana,Alexandre Gusmão,Abacate,52,Regular,2025-11-09 19:21:00
Ana,Alexandre Gusmão,Goiaba,77,Bom,2025-08-19 10:11:00
Ana,Alexandre Gusmão,Couve,71,Péssimo,2025-12-16 16:26:00
Ana,Alexandre Gusmão,Alface,75,Regular,2026-01-09 21:13:00
Ana,Alexandre Gusmão,Atemóia,91,Regular,2026-05-05 09:01:00
Ana,Alexandre Gusmão,Abacate,68,Bom,2025-11-23 03:46:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,74,Bom,2025-12-13 11:07:00
Ana,Alexandre Gusmão,Cebolinha,99,Excelente,2026-03-12 22:30:00
Ana,Alexandre Gusmão,Pimentão,95,Bom,2026-03-10 10:37:00
Ana,Alexandre Gusmão,Mandioca,96,Bom,2025-08-08 14:58:00
Ana,Alexandre Gusmão,Mandioca,60,Excelente,2026-01-13 18:46:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,80,Bom,2025-09-15 14:49:00
Ana,Alexandre Gusmão,Abacate,92,Ruim,2026-03-21 01:11:00
Ana,Alexandre Gusmão,Uva,96,Bom,2025-06-11 22:12:00
Ana,Alexandre Gusmão,Abacate,50,Excelente,2025-12-01 10:17:00
Ana,Alexandre Gusmão,Couve,87,Péssimo,2026-05-23 15:02:00
Ana,Alexandre Gusmão,Uva,78,Excelente,2026-05-31 03:53:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,64,Regular,2026-01-25 21:12:00
Ana,Alexandre Gusmão,Tangerina,86,Péssimo,2025-08-02 19:47:00
Ana,Alexandre Gusmão,Mandioca,89,Péssimo,2026-03-08 06:06:00
Ana,Alexandre Gusmão,Pimentão,57,Regular,2025-07-31 22:59:00
Ana,Alexandre Gusmão,Quiabo,6,Regular,2026-04-30 16:33:00
Ana,Alexandre Gusmão,Goiaba,93,Péssimo,2025-11-28 20:33:00
Ana,Alexandre Gusmão,Chuchu,96,Excelente,2025-10-08 16:39:00
Beatriz,Brazlândia,Maracujá,69,Bom,2025-09-17 22:38:00
Beatriz,Brazlândia,Mandioca,59,Regular,2025-09-12 21:17:00
Beatriz,Brazlândia,Couve,66,Bom,2025-11-25 05:08:00
Beatriz,Brazlândia,Alface,50,Péssimo,2025-12-04 09:51:00
Beatriz,Brazlândia,Maracujá,100,Bom,2026-03-21 15:16:00
Beatriz,Brazlândia,Cajamanga,98,Regular,2025-11-07 11:48:00
