client,location,product,quantity,customerFeedback,date
Ana,Alexandre Gusmão,Brócolis - Ramoso,71,Ruim,2026-01-18 12:02:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,66,Ruim,2026-05-27 03:41:00
Ana,Alexandre Gusmão,Tangerina,57,Ruim,2025-07-27 03:41:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,61,Regular,2026-04-16 04:17:00
Ana,Alexandre Gusmão,Tomate,76,Péssimo,2026-02-08 22:14:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,70,Regular,2025-06-03 08:01:00
Ana,Alexandre Gusmão,Repolho,54,Bom,2026-01-03 10:31:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,83,Excelente,2026-01-23 08:04:00
Ana,Alexandre Gusmão,Mandioca,91,Ruim,2026-01-15 18:11:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,96,Péssimo,2025-09-02 08:19:00
Ana,Alexandre Gusmão,Mandioca,95,Bom,2026-04-22 20:09:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,88,Bom,2026-05-10 17:33:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,92,Bom,2025-07-10 08:45:00
Ana,Alexandre Gusmão,Repolho,91,Péssimo,2026-03-23 10:01:00
Ana,Alexandre Gusmão,Chuchu,71,Bom,2025-09-29 07:47:00
Ana,Alexandre Gusmão,Tangerina,66,Ruim,2026-02-16 10:47:00
Ana,Alexandre Gusmão,Repolho,79,Péssimo,2025-12-20 16:21:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,88,Ruim,2026-04-12 22:25:00
Ana,Alexandre Gusmão,Mandioca,91,Regular,2025-12-04 20:11:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,95,Bom,2025-09-11 05:18:00
Ana,Alexandre Gusmão,Mandioca,88,Ruim,2026-03-09 04:02:00
Ana,Alexandre Gusmão,Repolho,80,Bom,2026-03-04 18:37:00
Ana,Alexandre Gusmão,Limão,54,Ruim,2026-02-22 02:15:00
Ana,Alexandre Gusmão,Mandioca,69,Péssimo,2025-07-10 15:05:00
Ana,Alexandre Gusmão,Tangerina,74,Ruim,2025-07-27 13:42:00
Ana,Alexandre Gusmão,Chuchu,96,Excelente,2026-04-09 14:28:00
Ana,Alexandre Gusmão,Limão,53,Regular,2025-06-22 02:36:00
Ana,Alexandre Gusmão,Mandioca,100,Ruim,2025-10-30 09:28:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,74,Bom,2025-09-25 22:06:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,95,Excelente,2025-09-09 23:15:00
Ana,Alexandre Gusmão,Tangerina,85,Regular,2026-05-20 15:19:00
Ana,Alexandre Gusmão,Tomate,66,Bom,2025-07-19 15:02:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,61,Péssimo,2025-06-29 12:06:00
Ana,Alexandre Gusmão,Tangerina,66,Bom,2026-04-01 14:51:00
Ana,Alexandre Gusmão,Mandioca,71,Péssimo,2025-08-16 09:28:00
Ana,Alexandre Gusmão,Tangerina,95,Bom,2025-12-25 04:58:00
Ana,Alexandre Gusmão,Banana,92,Ruim,2025-10-07 14:55:00
Ana,Alexandre Gusmão,Graviola,53,Regular,2025-11-28 17:27:00
Ana,Alexandre Gusmão,Chuchu,99,Regular,2025-05-30 23:13:00
Ana,Alexandre Gusmão,Mandioca,64,Péssimo,2026-03-19 04:42:00
Ana,Alexandre Gusmão,Tomate,51,Péssimo,2025-12-08 14:04:00
Ana,Alexandre Gusmão,Tangerina,85,Regular,2025-11-25 12:35:00
Ana,Alexandre Gusmão,Repolho,85,Péssimo,2026-05-18 02:31:00
Ana,Alexandre Gusmão,Tangerina,62,Regular,2025-11-01 16:44:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,73,Bom,2025-10-11 04:33:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,64,Bom,2026-04-16 11:40:00
Ana,Alexandre Gusmão,Brócolis - Cabeça Única,96,Péssimo,2025-10-03 10:32:00
Ana,Alexandre Gusmão,Banana,57,Ruim,2025-08-10 02:49:00
Ana,Alexandre Gusmão,Chuchu,95,Ruim,2025-12-16 11:26:00
Ana,Alexandre Gusmão,Pimentão,59,Regular,2026-03-03 11:30:00
Ana,Alexandre Gusmão,Uva,68,Excelente,2026-04-01 18:50:00
Ana,Alexandre Gusmão,Couve,74,Excelente,2025-06-27 12:05:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,78,Ruim,2025-11-06 17:19:00
Ana,Alexandre Gusmão,Goiaba,98,Bom,2026-03-18 22:22:00
Ana,Alexandre Gusmão,Repolho,73,Péssimo,2026-05-20 18:12:00
Ana,Alexandre Gusmão,Repolho,73,Ruim,2026-05-28 02:33:00
Ana,Alexandre Gusmão,Limão,66,Ruim,2025-07-09 10:02:00
Ana,Alexandre Gusmão,Alface,60,Péssimo,2026-01-14 15:28:00
Ana,Alexandre Gusmão,Couve,54,Bom,2026-03-25 05:01:00
Ana,Alexandre Gusmão,Mandioca,57,Ruim,2026-03-30 22:34:00
Ana,Alexandre Gusmão,Limão,95,Bom,2026-04-22 06:47:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,65,Bom,2025-10-18 04:00:00
Ana,Alexandre Gusmão,Chuchu,86,Ruim,2025-08-04 11:38:00
Ana,Alexandre Gusmão,Repolho,55,Péssimo,2026-04-01 09:09:00
Ana,Alexandre Gusmão,Pimentão,90,Péssimo,2026-04-14 06:06:00
Ana,Alexandre Gusmão,Brazlândia,52,Ruim,2025-06-15 09:42:00
Ana,Alexandre Gusmão,Abacate,58,Regular,2025-09-28 16:44:00
Ana,Alexandre Gusmão,Repolho,66,Bom,2026-01-10 02:26:00
Ana,Alexandre Gusmão,Graviola,81,Bom,2025-08-06 05:53:00
Ana,Alexandre Gusmão,Banana,78,Excelente,2026-05-09 23:26:00
Ana,Alexandre Gusmão,Chuchu,53,Bom,2026-04-17 19:34:00
Ana,Alexandre Gusmão,Chuchu,53,Excelente,2025-12-07 03:57:00
Ana,Alexandre Gusmão,Tangerina,74,Bom,2026-05-22 05:18:00
Ana,Alexandre Gusmão,Limão,91,Péssimo,2025-06-05 01:36:00
Ana,Alexandre Gusmão,Tangerina,80,Regular,2025-10-25 12:51:00
Ana,Alexandre Gusmão,Repolho,78,Ruim,2025-07-17 21:06:00
Ana,Alexandre Gusmão,Uva,94,Excelente,2025-06-01 21:05:00
Ana,Alexandre Gusmão,Graviola,53,Regular,2025-06-27 00:45:00
Ana,Alexandre Gusmão,Alface,56,Péssimo,2025-08-26 10:11:00
Ana,Alexandre Gusmão,Alface,86,Péssimo,2025-07-02 16:14:00
Ana,Alexandre Gusmão,Lichia,1,Excelente,2026-04-16 16:01:00
Ana,Alexandre Gusmão,Uva,53,Bom,2025-09-21 03:48:00
Ana,Alexandre Gusmão,Banana,99,Excelente,2026-02-25 08:05:00
Ana,Alexandre Gusmão,Gama,9,Ruim,2025-06-22 03:36:00
Ana,Alexandre Gusmão,Uva,59,Bom,2026-02-09 03:34:00
Ana,Alexandre Gusmão,Couve,68,Excelente,2026-01-27 07:18:00
Ana,Alexandre Gusmão,Graviola,56,Ruim,2026-01-12 15:21:00
Ana,Alexandre Gusmão,Uva,83,Excelente,2025-09-24 09:36:00
Ana,Alexandre Gusmão,Tomate,96,Ruim,2025-12-24 15:45:00
Ana,Alexandre Gusmão,Chuchu,74,Bom,2026-03-14 14:41:00
Ana,Alexandre Gusmão,Goiaba,88,Ruim,2026-02-13 12:52:00
Ana,Alexandre Gusmão,Gama,2,Ruim,2025-12-20 06:53:00
Ana,Alexandre Gusmão,Uva,66,Regular,2025-11-22 08:32:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,74,Péssimo,2026-02-24 13:16:00
Ana,Alexandre Gusmão,Tangerina,56,Ruim,2025-12-08 19:58:00
Ana,Alexandre Gusmão,Uva,80,Bom,2025-06-03 16:33:00
Ana,Alexandre Gusmão,Limão,89,Bom,2026-05-18 09:05:00
Ana,Alexandre Gusmão,Pimentão,70,Péssimo,2026-01-05 10:44:00
Ana,Alexandre Gusmão,Brócolis - Ramoso,77,Excelente,2026-01-20 03:06:00
Ana,Alexandre Gusmão,Pimentão,98,Ruim,2025-07-30 02:26:00
Beatriz,Brazlândia,Abacate,97,Regular,2025-12-14 23:17:00
Beatriz,Brazlândia,Pimentão,65,Péssimo,2025-08-31 22:28:00
Beatriz,Brazlândia,Abacate,73,Regular,2026-01-03 03:49:00
Beatriz,Brazlândia,Pimentão,69,Ruim,2025-10-29 23:29:00
Beatriz,Brazlândia,Coco,8,Regular,2026-02-05 21:19:00
Beatriz,Brazlândia,Abacate,95,Bom,2025-10-26 09:43:00
Beatriz,Brazlândia,Coco,6,Ruim,2025-07-08 11:24:00
Beatriz,Brazlândia,Abacate,64,Péssimo,2025-10-22 05:00:00
Beatriz,Brazlândia,Abacate,62,Bom,2025-12-23 16:56:00
Beatriz,Brazlândia,Jabuticaba,1,Excelente,2025-06-05 19:30:00
Beatriz,Brazlândia,Sobradinho,10,Excelente,2025-11-08 18:20:00
Beatriz,Brazlândia,Tomate,58,Bom,2025-07-28 08:44:00
Beatriz,Brazlândia,Sobradinho,3,Regular,2025-07-23 00:34:00
Beatriz,Brazlândia,Tomate,99,Péssimo,2025-09-23 01:05:00
Beatriz,Brazlândia,Coco,4,Excelente,2026-04-02 10:08:00
Beatriz,Brazlândia,Tangerina,55,Regular,2025-12-25 16:09:00
Beatriz,Brazlândia,Tomate,82,Ruim,2026-04-22 18:32:00
Beatriz,Brazlândia,Abóbora italiana,50,Regular,2025-06-23 04:58:00
Beatriz,Brazlândia,Tomate,100,Ruim,2026-01-05 10:35:00
Beatriz,Brazlândia,Jabuticaba,7,Péssimo,2025-11-11 10:12:00
Beatriz,Brazlândia,Abóbora italiana,90,Excelente,2025-10-21 16:25:00
Beatriz,Brazlândia,Sobradinho,1,Ruim,2025-10-19 11:45:00
Beatriz,Brazlândia,Cajamanga,99,Excelente,2025-11-03 08:57:00
Beatriz,Brazlândia,Sobradinho,4,Excelente,2026-01-16 09:05:00
Beatriz,Brazlândia,Jabuticaba,6,Regular,2026-01-20 20:26:00
Beatriz,Brazlândia,Coco,6,Ruim,2026-04-13 05:55:00
Beatriz,Brazlândia,Cajamanga,97,Ruim,2026-01-15 09:17:00
Beatriz,Brazlândia,Abóbora italiana,51,Excelente,2025-10-30 00:05:00
Beatriz,Brazlândia,Maracujá Pérola,1,Excelente,2026-01-26 14:56:00
Beatriz,Brazlândia,Chuchu,90,Péssimo,2026-02-13 12:50:00
Beatriz,Brazlândia,Maracujá,78,Regular,2025-12-05 11:29:00
Beatriz,Brazlândia,Cajamanga,91,Excelente,2026-04-19 12:59:00
Beatriz,Brazlândia,Abóbora italiana,56,Bom,2026-03-23 17:30:00
Beatriz,Brazlândia,Maracujá Pérola,7,Ruim,2025-07-27 07:40:00
Beatriz,Brazlândia,Coco,3,Ruim,2026-05-08 13:09:00
Beatriz,Brazlândia,Limão,70,Excelente,2025-07-14 05:39:00
Beatriz,Brazlândia,Abóbora italiana,66,Regular,2025-10-21 05:58:00
Beatriz,Brazlândia,Pitaia,4,Péssimo,2025-09-29 10:56:00
Beatriz,Brazlândia,Maracujá Pérola,4,Péssimo,2025-07-20 18:14:00
Beatriz,Brazlândia,Pitaia,7,Regular,2025-08-12 17:46:00
Beatriz,Brazlândia,Tomate,82,Ruim,2025-08-17 07:40:00
Beatriz,Brazlândia,Ceilândia,95,Ruim,2025-11-21 17:32:00
Beatriz,Brazlândia,Limão,91,Ruim,2025-07-17 03:40:00
Beatriz,Brazlândia,Pitaia,3,Ruim,2026-03-14 11:57:00
Beatriz,Brazlândia,Coco,10,Bom,2026-03-27 16:08:00
Beatriz,Brazlândia,Ceilândia,79,Bom,2025-07-18 08:00:00
Beatriz,Brazlândia,Tomate,93,Ruim,2026-04-06 01:53:00
Beatriz,Brazlândia,Coco,7,Ruim,2026-01-09 04:14:00
Beatriz,Brazlândia,Manga,50,Ruim,2026-04-06 03:02:00
Beatriz,Brazlândia,Tomate,63,Regular,2025-08-15 23:27:00
Beatriz,Brazlândia,Ceilândia,97,Ruim,2026-02-04 23:43:00
Beatriz,Brazlândia,Chuchu,58,Péssimo,2026-03-03 11:33:00
Beatriz,Brazlândia,Tomate,92,Péssimo,2025-10-14 01:23:00
Beatriz,Brazlândia,Uva,58,Regular,2025-06-28 11:23:00
Beatriz,Brazlândia,Manga,94,Excelente,2025-10-23 07:30:00
Beatriz,Brazlândia,Abacate,58,Excelente,2025-07-27 15:08:00
Beatriz,Brazlândia,Uva,71,Ruim,2025-09-20 10:03:00
Beatriz,Brazlândia,Abóbora italiana,93,Ruim,2025-12-10 06:47:00
Beatriz,Brazlândia,Abacate,94,Excelente,2025-10-25 19:50:00
Beatriz,Brazlândia,Sobradinho,4,Regular,2025-12-31 21:54:00
Beatriz,Brazlândia,Limão,68,Péssimo,2026-02-17 04:59:00
Beatriz,Brazlândia,Jabuticaba,5,Bom,2025-07-29 04:09:00
Beatriz,Brazlândia,Limão,78,Péssimo,2025-09-05 00:37:00
Beatriz,Brazlândia,Maracujá Pérola,3,Regular,2026-01-22 08:57:00
Beatriz,Brazlândia,Cajamanga,76,Bom,2025-09-14 11:04:00
Beatriz,Brazlândia,Maracujá Pérola,2,Excelente,2025-08-24 09:36:00
Beatriz,Brazlândia,Atemóia,93,Regular,2026-03-05 00:33:00
Beatriz,Brazlândia,Limão,65,Bom,2025-12-07 15:52:00
Beatriz,Brazlândia,Coco,6,Péssimo,2026-04-06 05:26:00
Beatriz,Brazlândia,Mandioca,70,Ruim,2025-08-08 03:00:00
Beatriz,Brazlândia,Maracujá,83,Regular,2026-05-25 07:46:00
Beatriz,Brazlândia,Jabuticaba,7,Péssimo,2025-06-24 18:54:00
Beatriz,Brazlândia,Morango,81,Péssimo,2026-03-23 16:26:00
Beatriz,Brazlândia,Ceilândia,54,Péssimo,2026-02-17 12:55:00
Beatriz,Brazlândia,Tomate,74,Regular,2025-11-25 16:24:00
Beatriz,Brazlândia,Alface,61,Bom,2025-10-30 13:11:00
Beatriz,Brazlândia,Morango,84,Excelente,2025-07-12 06:58:00
Beatriz,Brazlândia,Mandioca,98,Regular,2025-09-02 12:48:00
Beatriz,Brazlândia,Cajamanga,74,Péssimo,2026-02-02 03:47:00
Beatriz,Brazlândia,Abóbora italiana,73,Bom,2025-12-23 14:12:00
Beatriz,Brazlândia,Alface,54,Ruim,2025-10-04 04:50:00
Beatriz,Brazlândia,Abacate,62,Péssimo,2025-11-14 03:02:00
Beatriz,Brazlândia,Atemóia,76,Ruim,2025-07-17 04:57:00
Beatriz,Brazlândia,Goiaba,68,Ruim,2025-11-21 02:20:00
Beatriz,Brazlândia,Tomate,52,Ruim,2025-11-20 06:00:00
Beatriz,Brazlândia,Manga,64,Excelente,2025-05-28 21:14:00
Beatriz,Brazlândia,Coco,5,Ruim,2025-09-14 03:51:00
Beatriz,Brazlândia,Abacate,90,Péssimo,2025-11-13 10:51:00
Beatriz,Brazlândia,Pimentão,83,Bom,2026-04-18 22:59:00
Beatriz,Brazlândia,Manga,58,Regular,2025-07-14 09:27:00
Beatriz,Brazlândia,Goiaba,88,Ruim,2025-11-30 14:05:00
Beatriz,Brazlândia,Alface,94,Regular,2025-10-22 05:28:00
Beatriz,Brazlândia,Cajamanga,83,Péssimo,2025-12-07 07:33:00
Beatriz,Brazlândia,Goiaba,87,Regular,2025-09-24 21:10:00
Beatriz,Brazlândia,Pimentão,58,Ruim,2025-10-27 15:54:00
Beatriz,Brazlândia,Repolho,85,Péssimo,2025-06-11 21:35:00
Beatriz,Brazlândia,Graviola,1,Excelente,2025-06-07 19:07:00
Beatriz,Brazlândia,Tangerina,77,Regular,2026-05-04 00:27:00
Beatriz,Brazlândia,Mandioca,60,Ruim,2026-01-08 12:25:00
Beatriz,Brazlândia,Abóbora italiana,79,Péssimo,2026-03-31 07:09:00
Camila,Ceilândia,Couve,83,Excelente,2025-09-13 16:14:00
Camila,Ceilândia,Manga,74,Péssimo,2025-08-06 10:40:00
Camila,Ceilândia,Manga,90,Regular,2026-02-23 15:33:00
Camila,Ceilândia,Couve,90,Péssimo,2025-11-12 19:09:00
Camila,Ceilândia,Batata-doce,51,Ruim,2025-08-04 15:10:00
Camila,Ceilândia,Brazlândia,2,Bom,2026-01-23 22:31:00
Camila,Ceilândia,Couve,50,Bom,2025-11-26 01:15:00
Camila,Ceilândia,Brazlândia,6,Regular,2026-01-23 12:28:00
Camila,Ceilândia,Limão,86,Ruim,2025-10-10 11:40:00
Camila,Ceilândia,Mandioca,54,Ruim,2025-06-15 08:04:00
Camila,Ceilândia,Tangerina,74,Bom,2025-05-28 05:56:00
Camila,Ceilândia,Jiló,5,Excelente,2025-07-10 12:21:00
Camila,Ceilândia,Batata-doce,51,Péssimo,2026-02-16 10:37:00
Camila,Ceilândia,Couve,82,Regular,2025-12-05 04:12:00
Camila,Ceilândia,Mandioca,87,Regular,2026-04-10 22:16:00
Camila,Ceilândia,Repolho,85,Regular,2026-01-14 17:01:00
Camila,Ceilândia,Mandioca,98,Péssimo,2026-01-09 17:25:00
Camila,Ceilândia,Maracujá,52,Bom,2026-03-06 04:42:00
Camila,Ceilândia,Couve,84,Regular,2025-06-19 09:28:00
Camila,Ceilândia,Brazlândia,4,Ruim,2025-08-31 17:45:00
Camila,Ceilândia,Laranja,58,Bom,2025-06-29 22:34:00
Camila,Ceilândia,Tangerina,50,Péssimo,2025-10-31 20:50:00
Camila,Ceilândia,Tangerina,68,Ruim,2025-09-24 22:53:00
Camila,Ceilândia,Laranja,53,Ruim,2025-10-08 14:17:00
Camila,Ceilândia,Tangerina,50,Ruim,2025-09-25 10:23:00
Camila,Ceilândia,Repolho,78,Regular,2025-07-03 05:13:00
Camila,Ceilândia,Maracujá,59,Bom,2026-04-09 08:49:00
Camila,Ceilândia,Mandioca,100,Bom,2025-12-21 18:08:00
Camila,Ceilândia,Maracujá,55,Ruim,2025-06-13 03:51:00
Camila,Ceilândia,Repolho,53,Regular,2026-02-01 05:17:00
Camila,Ceilândia,Repolho,96,Excelente,2026-04-17 04:24:00
Camila,Ceilândia,Laranja,76,Ruim,2026-03-22 02:11:00
Camila,Ceilândia,Maracujá,63,Excelente,2026-04-24 20:24:00
Camila,Ceilândia,Abacate,57,Excelente,2026-02-09 13:36:00
Camila,Ceilândia,Alface,54,Bom,2025-06-06 20:49:00
Camila,Ceilândia,Abacate,84,Péssimo,2025-07-26 21:14:00
Camila,Ceilândia,Alface,69,Péssimo,2025-07-29 17:23:00
Camila,Ceilândia,Manga,100,Excelente,2025-09-29 01:06:00
Camila,Ceilândia,Alface,93,Péssimo,2026-01-13 19:52:00
Camila,Ceilândia,Coco,100,Ruim,2026-01-07 23:22:00
Camila,Ceilândia,Banana,60,Péssimo,2025-06-27 22:57:00
Camila,Ceilândia,Banana,64,Regular,2025-09-15 00:46:00
Camila,Ceilândia,Limão,55,Bom,2026-04-04 17:47:00
Camila,Ceilândia,Mandioca,53,Ruim,2025-09-25 09:27:00
Camila,Ceilândia,Jiló,9,Péssimo,2026-03-21 23:28:00
Camila,Ceilândia,Mandioca,97,Péssimo,2025-06-18 06:13:00
Camila,Ceilândia,Brazlândia,2,Regular,2026-02-01 03:49:00
Camila,Ceilândia,Alface,74,Ruim,2025-10-22 07:52:00
Camila,Ceilândia,Abacaxi,1,Regular,2026-03-08 22:33:00
Camila,Ceilândia,Mandioca,54,Regular,2025-10-27 13:52:00
Camila,Ceilândia,Chuchu,60,Excelente,2025-06-20 05:58:00
Camila,Ceilândia,Jiló,9,Bom,2026-05-11 12:53:00
Camila,Ceilândia,Banana,59,Ruim,2026-02-24 04:17:00
Camila,Ceilândia,Repolho,89,Péssimo,2025-06-19 04:25:00
Camila,Ceilândia,Brazlândia,3,Bom,2025-12-02 05:56:00
Camila,Ceilândia,Brócolis - Ramoso,97,Péssimo,2025-08-19 08:19:00
Camila,Ceilândia,Banana,57,Bom,2025-09-28 14:05:00
Camila,Ceilândia,Chuchu,52,Ruim,2025-10-03 04:36:00
Camila,Ceilândia,Couve,63,Péssimo,2025-07-09 12:13:00
Camila,Ceilândia,Tangerina,71,Bom,2026-02-05 13:55:00
Camila,Ceilândia,Banana,80,Péssimo,2025-11-03 20:13:00
Camila,Ceilândia,Tomate,83,Excelente,2026-05-05 10:25:00
Camila,Ceilândia,Mandioca,60,Regular,2026-03-07 10:40:00
Camila,Ceilândia,Maracujá,87,Péssimo,2026-02-25 16:46:00
Camila,Ceilândia,Mandioca,50,Excelente,2026-02-04 18:28:00
Camila,Ceilândia,Laranja,100,Regular,2025-11-03 21:04:00
Camila,Ceilândia,Jiló,8,Bom,2026-03-10 10:47:00
Camila,Ceilândia,Coco,81,Regular,2025-10-26 08:48:00
Camila,Ceilândia,Maracujá,62,Regular,2026-03-19 15:20:00
Camila,Ceilândia,Manga,93,Ruim,2025-12-21 02:20:00
Camila,Ceilândia,Limão,57,Ruim,2026-04-21 09:03:00
Camila,Ceilândia,Jiló,2,Regular,2025-07-22 13:54:00
Camila,Ceilândia,Tangerina,80,Ruim,2025-06-07 21:19:00
Camila,Ceilândia,Tomate,63,Péssimo,2026-05-19 15:08:00
Camila,Ceilândia,Laranja,91,Excelente,2026-03-23 18:23:00
Camila,Ceilândia,Alface,54,Excelente,2025-05-31 15:32:00
Camila,Ceilândia,Brócolis - Ramoso,68,Excelente,2026-01-01 17:00:00
Camila,Ceilândia,Manga,75,Ruim,2025-08-12 01:34:00
Camila,Ceilândia,Mandioca,90,Ruim,2026-04-04 00:04:00
Camila,Ceilândia,Maracujá,71,Péssimo,2026-02-22 05:01:00
Camila,Ceilândia,Repolho,91,Ruim,2025-06-28 09:34:00
Camila,Ceilândia,Jiló,6,Regular,2025-11-25 05:28:00
Camila,Ceilândia,Abacaxi,4,Excelente,2025-11-18 09:41:00
Camila,Ceilândia,Alface,69,Ruim,2026-04-15 23:21:00
Camila,Ceilândia,Laranja,64,Ruim,2025-11-14 07:05:00
Camila,Ceilândia,Maracujá,64,Ruim,2026-04-03 14:27:00
Camila,Ceilândia,Abacate,80,Bom,2026-04-22 00:56:00
Camila,Ceilândia,Brócolis - Ramoso,58,Bom,2025-12-03 04:33:00
Camila,Ceilândia,Abacaxi,8,Regular,2026-01-10 00:49:00
Camila,Ceilândia,Berinjela,4,Regular,2025-12-17 19:15:00
Camila,Ceilândia,Mandioca,89,Péssimo,2025-09-19 17:06:00
Camila,Ceilândia,Mandioca,96,Péssimo,2025-08-28 14:56:00
Camila,Ceilândia,Jiló,4,Bom,2025-12-30 13:11:00
Camila,Ceilândia,Tangerina,71,Excelente,2026-02-10 08:30:00
Camila,Ceilândia,Sobradinho,10,Péssimo,2025-07-17 00:16:00
